record_id,date,ceo_id,first_name,last_name,date_of_birth,total_revenue,total_expenses,state,postal_codes,compani_name,industry,email
1464,2019-12-31,1041,Sarah,James,1971-05-10,468.47,198.0,New Yoke,93122,Cook-Riddle,Oil and Gas,sarah.james@Cook.net
512,2018-08-31,1015,Jacqueline,Sanford,1959-08-25,501.97,194.0,New Yoke,11712,Smith Ltd,Retail,jacqueline.sanford@Smith.net
614,2018-02-28,1018,Jessica,White,1957-10-05,493.35,205.0,California,11485,Martinez Group,IT,jessica.white@Martinez.net
1324,2020-04-30,1037,Renee,Fleming,1991-11-02,508.73,200.0,Florida,10751,"Franklin, Mcconnell and Ortega",IT,renee.fleming@Franklin.com
995,2019-11-30,1028,Mary,Rodriguez,1953-02-10,512.91,203.0,Texas,10926,Newton PLC,Education,mary.rodriguez@Newton.edu
191,2018-11-30,1006,Chad,Leon,1984-06-22,511.6,207.0,California,14701,"Short, Washington and Green",Education,chad.leon@Short.edu
1718,2020-02-29,1048,Tyler,Kelley,1982-09-23,495.17,198.0,New Yoke,94491,"Stewart, Hawkins and Nichols",Retail,tyler.kelley@Stewart.com
1050,2018-06-30,1030,Melissa,Ryan,1982-02-09,491.05,194.0,Pennsylvania,14417,"Morton, Carr and Howell",Oil and Gas,melissa.ryan@Morton.com
1409,2018-05-31,1040,Sara,Ellis,1976-08-19,503.42,201.0,Florida,93757,Riley-Warren,Retail,sara.ellis@Riley.net
883,2019-07-31,1025,Kristin,Bennett,1971-01-29,500.95,194.0,Pennsylvania,13089,Mack-Bridges,IT,kristin.bennett@Mack.io
902,2018-02-28,1026,Marcus,Burgess,1996-04-12,502.04,198.0,New Yoke,11661,"Knox, Keller and Reynolds",Financial,marcus.burgess@Knox.com
1429,2020-01-31,1040,Sara,Ellis,1976-08-19,502.74,207.0,Florida,93757,Riley-Warren,Retail,sara.ellis@Riley.net
159,2019-03-31,1005,Brittany,Dean,1987-10-25,500.17,212.0,Florida,12093,"Scott, Howard and Vaughn",IT,brittany.dean@Scott.io
1203,2019-03-31,1034,Michele,Rice,1981-06-02,501.84,202.0,Texas,14334,"Kelly, Johnson and Perez",Oil and Gas,michele.rice@Kelly.net
681,2020-09-30,1019,Joel,Byrd,1991-07-04,503.98,206.0,California,10355,"Williams, Woodard and Martinez",IT,joel.byrd@Williams.io
121,2019-01-31,1004,Brian,Young,1961-06-28,499.75,193.0,California,11934,Turner Ltd,Education,brian.young@Turner.edu
1709,2019-05-31,1048,Tyler,Kelley,1982-09-23,472.09,206.0,New Yoke,94491,"Stewart, Hawkins and Nichols",Retail,tyler.kelley@Stewart.com
1629,2018-09-30,1046,Tim,Beasley,1950-08-16,512.73,199.0,New Yoke,90626,Ross PLC,IT,tim.beasley@Ross.io
276,2019-12-31,1008,Christopher,Perez,1960-11-07,491.32,198.0,Florida,11858,Wood Group,Oil and Gas,christopher.perez@Wood.io
1215,2020-03-31,1034,Michele,Rice,1981-06-02,490.87,199.0,Texas,14334,"Kelly, Johnson and Perez",Oil and Gas,michele.rice@Kelly.net
383,2019-11-30,1011,David,Chavez,1976-03-17,484.61,205.0,Texas,13706,Glenn-Vincent,Retail,david.chavez@Glenn.io
49,2019-01-31,1002,Ashley,Blanchard,1949-04-10,501.2,194.0,New Yoke,10464,Davis LLC,Education,ashley.blanchard@Davis.edu
539,2020-11-30,1015,Jacqueline,Sanford,1959-08-25,482.12,199.0,New Yoke,11712,Smith Ltd,Retail,jacqueline.sanford@Smith.net
48,2018-12-31,1002,Ashley,Blanchard,1949-04-10,521.0,200.0,New Yoke,10464,Davis LLC,Education,ashley.blanchard@Davis.edu
1276,2019-04-30,1036,Rachel,Murphy,1967-10-17,488.13,197.0,California,12693,Brown-Smith,Education,rachel.murphy@Brown.edu
109,2018-01-31,1004,Brian,Young,1961-06-28,497.34,195.0,California,11934,Turner Ltd,Education,brian.young@Turner.edu
509,2018-05-31,1015,Jacqueline,Sanford,1959-08-25,493.99,198.0,New Yoke,11712,Smith Ltd,Retail,jacqueline.sanford@Smith.net
806,2019-02-28,1023,Kenneth,Buckley,1965-02-25,497.62,201.0,Florida,12375,Stafford-Miller,Oil and Gas,kenneth.buckley@Stafford.com
1412,2018-08-31,1040,Sara,Ellis,1976-08-19,489.94,206.0,Florida,93757,Riley-Warren,Retail,sara.ellis@Riley.net
1061,2019-05-31,1030,Melissa,Ryan,1982-02-09,498.29,201.0,Pennsylvania,14417,"Morton, Carr and Howell",Oil and Gas,melissa.ryan@Morton.com
259,2018-07-31,1008,Christopher,Perez,1960-11-07,504.3,202.0,Florida,11858,Wood Group,Oil and Gas,christopher.perez@Wood.io
1107,2020-03-31,1031,Melissa,Smith,1946-04-06,482.25,200.0,California,10101,Harrison Group,Education,melissa.smith@Harrison.edu
282,2020-06-30,1008,Christopher,Perez,1960-11-07,495.62,189.0,Florida,11858,Wood Group,Oil and Gas,christopher.perez@Wood.io
1475,2020-11-30,1041,Sarah,James,1971-05-10,509.57,207.0,New Yoke,93122,Cook-Riddle,Oil and Gas,sarah.james@Cook.net
429,2020-09-30,1012,David,Wells,1977-09-20,500.17,198.0,Florida,13888,Adams-Rice,IT,david.wells@Adams.net
959,2019-11-30,1027,Mary,Wong,1989-07-22,504.48,196.0,Florida,13932,"Castillo, Ramirez and Mitchell",Oil and Gas,mary.wong@Castillo.net
1315,2019-07-31,1037,Renee,Fleming,1991-11-02,501.49,205.0,Florida,10751,"Franklin, Mcconnell and Ortega",IT,renee.fleming@Franklin.com
112,2018-04-30,1004,Brian,Young,1961-06-28,503.15,196.0,California,11934,Turner Ltd,Education,brian.young@Turner.edu
1014,2018-06-30,1029,Melissa,Kelley,1982-09-22,511.31,206.0,Florida,14491,"Jones, George and Obrien",Retail,melissa.kelley@Jones.net
1385,2019-05-31,1039,Samantha,Clark,1959-09-15,493.99,190.0,Texas,91720,Green Inc,Retail,samantha.clark@Green.net
793,2018-01-31,1023,Kenneth,Buckley,1965-02-25,504.26,196.0,Florida,12375,Stafford-Miller,Oil and Gas,kenneth.buckley@Stafford.com
331,2018-07-31,1010,David,Duncan,1984-04-23,504.38,205.0,Texas,14681,"Johnson, Olson and Smith",Education,david.duncan@Johnson.edu
1575,2020-03-31,1044,Theresa,Ortiz,1973-03-24,486.39,197.0,Pennsylvania,93347,Meyer-Miles,Financial,theresa.ortiz@Meyer.net
232,2019-04-30,1007,Christopher,Nguyen,1967-06-18,502.02,207.0,Pennsylvania,12653,Gould-Foster,Retail,christopher.nguyen@Gould.io
1053,2018-09-30,1030,Melissa,Ryan,1982-02-09,480.24,197.0,Pennsylvania,14417,"Morton, Carr and Howell",Oil and Gas,melissa.ryan@Morton.com
774,2019-06-30,1022,Karen,Mullen,1954-12-23,500.96,209.0,Pennsylvania,11150,Sanchez PLC,Oil and Gas,karen.mullen@Sanchez.com
1483,2018-07-31,1042,Tammy,Fowler,1988-12-09,508.06,192.0,Florida,95239,"Rodriguez, Figueroa and Sanchez",Financial,tammy.fowler@Rodriguez.net
1217,2020-05-31,1034,Michele,Rice,1981-06-02,502.62,205.0,Texas,14334,"Kelly, Johnson and Perez",Oil and Gas,michele.rice@Kelly.net
854,2020-02-29,1024,Kimberly,Joseph,1993-11-25,510.37,201.0,California,13137,"Reyes, Aguilar and Robinson",Education,kimberly.joseph@Reyes.edu
1577,2020-05-31,1044,Theresa,Ortiz,1973-03-24,506.67,202.0,Pennsylvania,93347,Meyer-Miles,Financial,theresa.ortiz@Meyer.net
595,2019-07-31,1017,Jesse,Boyd,1980-12-11,500.35,205.0,,14277,"Perry, Turner and Diaz",Education,jesse.boyd@Perry.edu
1437,2020-09-30,1040,Sara,Ellis,1976-08-19,484.63,192.0,Florida,93757,Riley-Warren,Retail,sara.ellis@Riley.net
1703,2018-11-30,1048,Tyler,Kelley,1982-09-23,499.89,206.0,New Yoke,94491,"Stewart, Hawkins and Nichols",Retail,tyler.kelley@Stewart.com
